Tiempo(s),EMG(V)
0.522,1.549033
0.523,1.564851
0.524,1.640388
0.525,1.780809
0.526,1.978367
0.527,2.230803
0.528,2.532628
0.529,2.875772
0.53,3.225695
0.531,3.542047
0.532,3.763816
0.533,3.877121
0.534,3.891647
0.535,3.825149
0.536,3.703451
0.537,3.541078
0.538,3.313176
0.539,3.015871
0.54,2.666916
0.541,2.299238
0.542,1.961258
0.543,1.684612
0.544,1.474465
0.545,1.33598
0.546,1.281749
0.547,1.310801
0.548,1.434759
0.549,1.659433
0.55,1.968037
0.551,2.350564
0.552,2.758593
0.553,3.138215
0.554,3.461022
0.555,3.696994
0.556,3.831605
0.557,3.85743
0.558,3.79416
0.559,3.6631
0.56,3.506861
0.561,3.387422
0.562,3.286706
0.563,3.206327
0.564,3.160166
0.565,3.148867
0.566,3.213106
0.567,3.339001
0.568,3.462636
0.569,3.52397
0.57,3.453598
0.571,3.265078
0.572,2.988755
0.573,2.644319
0.574,2.281806
0.575,1.977722
0.576,1.795335
0.577,1.726255
0.578,1.740458
0.579,1.821806
0.58,1.928978
0.581,2.048094
0.582,2.173989
0.583,2.296333
0.584,2.381877
0.585,2.41674
0.586,2.407056
0.587,2.367673
0.588,2.304403
0.589,2.21434
0.59,2.116529
0.591,2.049062
0.592,2.036795
0.593,2.055518
0.594,2.123308
0.595,2.261792
0.596,2.456122
0.597,2.672726
0.598,2.900951
0.599,3.149836
0.6,3.388713
0.601,3.631787
0.602,3.871311
0.603,4.055311
0.604,4.128911
0.605,4.076616
0.606,3.884223
0.607,3.584012
0.608,3.190832
0.609,2.72147
0.61,2.230803
0.611,1.750788
0.612,1.303054
0.613,0.907937
0.614,0.589326
0.615,0.363038
0.616,0.2436
0.617,0.260708
0.618,0.416624
0.619,0.69779
0.62,1.068373
0.621,1.466717
0.622,1.850858
0.623,2.215308
0.624,2.573301
0.625,2.916446
0.626,3.210201
0.627,3.453598
0.628,3.627914
0.629,3.721528
0.63,3.738959
0.631,3.676335
0.632,3.537528
0.633,3.323183
0.634,3.070748
0.635,2.771505
0.636,2.392529
0.637,1.991925
0.638,1.612626
0.639,1.240752
0.64,0.898576
0.641,0.614828
0.642,0.418884
0.643,0.327207
0.644,0.345284
0.645,0.497326
0.646,0.774295
0.647,1.142941
0.648,1.558717
0.649,1.969006
0.65,2.354761
0.651,2.681442
0.652,2.935814
0.653,3.111099
0.654,3.204713
0.655,3.23538
0.656,3.203745
0.657,3.144994
0.658,3.077527
0.659,3.009414
0.66,2.919997
0.661,2.773765
0.662,2.576207
0.663,2.320866
0.664,1.993539
0.665,1.619728
0.666,1.242366
0.667,0.924078
0.668,0.682295
0.669,0.524119
0.67,0.457298
0.671,0.474084
0.672,0.563179
0.673,0.713607
0.674,0.921495
0.675,1.16231
0.676,1.417005
0.677,1.676542
0.678,1.912192
0.679,2.135897
0.68,2.342494
0.681,2.503898
0.682,2.585245
0.683,2.593961
0.684,2.554901
0.685,2.466129
0.686,2.323448
0.687,2.136866
0.688,1.933497
0.689,1.742072
0.69,1.58777
0.691,1.534184
0.692,1.632963
0.693,1.826325
0.694,2.030662
0.695,2.202718
0.696,2.303434
0.697,2.327645
0.698,2.339266
0.699,2.347659
0.7,2.308922
0.701,2.239841
0.702,2.161399
0.703,2.079729
0.704,1.932206
0.705,1.745946
0.706,1.56356
0.707,1.42217
0.708,1.360836
0.709,1.343405
0.71,1.331461
0.711,1.355994
0.712,1.443475
0.713,1.555812
0.714,1.653623
0.715,1.757567
0.716,1.8741
0.717,2.020978
0.718,2.146227
0.719,2.224669
0.72,2.227575
0.721,2.116852
0.722,1.914451
0.723,1.684935
0.724,1.439279
0.725,1.197173
0.726,0.98186
0.727,0.819488
0.728,0.767193
0.729,0.86565
0.73,1.107755
0.731,1.410226
0.732,1.715602
0.733,1.995476
0.734,2.196908
0.735,2.321512
0.736,2.404473
0.737,2.47775
0.738,2.507126
0.739,2.438691
0.74,2.308599
0.741,2.162045
0.742,2.005806
0.743,1.831167
0.744,1.628444
0.745,1.40151
0.746,1.173285
0.747,0.954422
0.748,0.756541
0.749,0.623221
0.75,0.557369
0.751,0.544133
0.752,0.582225
0.753,0.696176
0.754,0.900836
0.755,1.169412
0.756,1.458002
0.757,1.764346
0.758,2.096838
0.759,2.457414
0.76,2.727603
0.761,2.83187
0.762,2.812179
0.763,2.705653
0.764,2.521975
0.765,2.227252
0.766,1.802114
0.767,1.328556
0.768,0.879853
0.769,0.474407
0.77,0.123838
0.771,-0.000766
0.772,-0.001734
0.773,-0.00012
0.774,-0.001088
0.775,0.049592
0.776,0.22068
0.777,0.443417
0.778,0.713285
0.779,1.040289
0.78,1.403447
0.781,1.768865
0.782,2.061652
0.783,2.255336
0.784,2.326677
0.785,2.296333
0.786,2.164627
0.787,1.979013
0.788,1.797272
0.789,1.621342
0.79,1.392149
0.791,1.148429
0.792,0.914394
0.793,0.689397
0.794,0.469888
0.795,0.260386
0.796,0.099627
0.797,0.03442
0.798,0.056694
0.799,0.090912
0.8,0.135459
0.801,0.229719
0.802,0.354323
0.803,0.534772
0.804,0.748471
0.805,0.950225
0.806,1.110983
0.807,1.229777
0.808,1.342436
0.809,1.441216
0.81,1.495124
0.811,1.506745
0.812,1.503517
0.813,1.490928
0.814,1.433468
0.815,1.291756
0.816,1.047713
0.817,0.768485
0.818,0.516372
0.819,0.293958
0.82,0.082196
0.821,-0.001088
0.822,-0.000443
0.823,-0.001088
0.824,0.025382
0.825,0.119964
0.826,0.269424
0.827,0.4644
0.828,0.663249
0.829,0.815937
0.83,0.935376
0.831,1.020275
0.832,1.069987
0.833,1.07031
0.834,1.013173
0.835,0.904387
0.836,0.782365
0.837,0.661313
0.838,0.526056
0.839,0.3724
0.84,0.242954
0.841,0.189045
0.842,0.171936
0.843,0.152891
0.844,0.145466
0.845,0.201312
0.846,0.372723
0.847,0.62193
0.848,0.852092
0.849,1.04965
0.85,1.282394
0.851,1.523531
0.852,1.66137
0.853,1.681707
0.854,1.604233
0.855,1.455419
0.856,1.227517
0.857,0.921818
0.858,0.54833
0.859,0.160638
0.86,-0.001088
0.861,-0.001088
0.862,-0.001088
0.863,-0.001088
0.864,-0.001088
0.865,-0.001088
0.866,-0.001088
0.867,-0.001734
0.868,-0.001088
0.869,-0.001088
0.87,-0.001411
0.871,-0.001088
0.872,-0.000766
0.873,-0.001088
0.874,-0.000766
0.875,0.021185
0.876,0.122547
0.877,0.231979
0.878,0.313649
0.879,0.373045
0.88,0.419853
0.881,0.446968
0.882,0.50927
0.883,0.600625
0.884,0.667446
0.885,0.691334
0.886,0.650983
0.887,0.54607
0.888,0.386926
0.889,0.221003
0.89,0.081227
0.891,-0.001411
0.892,-0.001411
0.893,-0.001734
0.894,-0.00012
0.895,0.020862
0.896,0.046364
0.897,0.060568
0.898,0.044427
0.899,0.002785
0.9,-0.001088
0.901,-0.001088
0.902,-0.000443
0.903,-0.000443
0.904,0.027964
0.905,0.061536
0.906,0.131585
0.907,0.245214
0.908,0.361424
0.909,0.428891
0.91,0.440189
0.911,0.442772
0.912,0.446
0.913,0.422112
0.914,0.383052
0.915,0.367235
0.916,0.354968
0.917,0.30687
0.918,0.281045
0.919,0.29654
0.92,0.318168
0.921,0.338505
0.922,0.338182
0.923,0.258126
0.924,0.096722
0.925,-0.000766
0.926,-0.001411
0.927,-0.001411
0.928,-0.001411
0.929,-0.001088
0.93,-0.001088
0.931,-0.001088
0.932,-0.001088
0.933,-0.001411
0.934,-0.000766
0.935,-0.000766
0.936,-0.001088
0.937,-0.001088
0.938,-0.000443
0.939,-0.001088
0.94,-0.000766
0.941,-0.001088
0.942,-0.00012
0.943,0.044105
0.944,0.15741
0.945,0.310098
0.946,0.422435
0.947,0.456975
0.948,0.417593
0.949,0.328175
0.95,0.210028
0.951,0.106406
0.952,0.040876
0.953,-0.001411
0.954,-0.000766
0.955,-0.001411
0.956,-0.001088
0.957,-0.001088
0.958,-0.000766
0.959,0.005368
0.96,0.001494
0.961,-0.001411
0.962,-0.000766
0.963,0.001494
0.964,0.013761
0.965,-0.000766
0.966,-0.000766
0.967,0.037971
0.968,0.106406
0.969,0.182266
0.97,0.240372
0.971,0.285565
0.972,0.344316
0.973,0.433733
0.974,0.526702
0.975,0.571249
0.976,0.559628
0.977,0.563825
0.978,0.589004
0.979,0.561888
0.98,0.4828
0.981,0.384021
0.982,0.278463
0.983,0.159347
0.984,0.01828
0.985,-0.001088
0.986,-0.001088
0.987,-0.001088
0.988,-0.001088
0.989,-0.001411
0.99,-0.000766
0.991,-0.000443
0.992,-0.001088
0.993,-0.000766
0.994,0.04701
0.995,0.109634
0.996,0.148049
0.997,0.175164
0.998,0.221972
0.999,0.265551
1.0,0.267165
1.001,0.242308
1.002,0.222294
1.003,0.180007
1.004,0.101241
1.005,0.027641
1.006,-0.000766
1.007,-0.000766
1.008,-0.00012
1.009,-0.001734
1.01,-0.000766
1.011,-0.001088
1.012,-0.000766
1.013,-0.001088
1.014,-0.001411
1.015,-0.001088
1.016,-0.001088
1.017,0.002462
1.018,0.074126
1.019,0.151277
1.02,0.229396
1.021,0.291698
1.022,0.2988
1.023,0.258772
1.024,0.172582
1.025,0.049592
1.026,-0.001088
1.027,-0.001088
1.028,-0.001088
1.029,0.015697
1.03,0.067992
1.031,0.117705
1.032,0.161284
1.033,0.238112
1.034,0.339473
1.035,0.437284
1.036,0.499909
1.037,0.52993
1.038,0.54607
1.039,0.530898
1.04,0.48506
1.041,0.428568
1.042,0.375951
1.043,0.320105
1.044,0.257803
1.045,0.209382
1.046,0.183235
1.047,0.153213
1.048,0.119319
1.049,0.13675
1.05,0.219712
1.051,0.309452
1.052,0.334631
1.053,0.290407
1.054,0.1884
1.055,0.075417
1.056,-0.000766
1.057,-0.001411
1.058,-0.000766
1.059,-0.001088
1.06,-0.001088
1.061,-0.00012
1.062,0.024413
1.063,0.103178
1.064,0.245859
1.065,0.435347
1.066,0.606758
1.067,0.735881
1.068,0.843376
1.069,0.915362
1.07,0.943446
1.071,0.915362
1.072,0.829172
1.073,0.675193
1.074,0.471502
1.075,0.280077
1.076,0.131908
1.077,0.046687
1.078,-0.001088
1.079,-0.001411
1.08,-0.000766
1.081,-0.001088
1.082,-0.000766
1.083,0.004722
1.084,0.088006
1.085,0.208091
1.086,0.376919
1.087,0.578674
1.088,0.772358
1.089,0.950548
1.09,1.098071
1.091,1.192977
1.092,1.20492
1.093,1.137454
1.094,1.015755
1.095,0.848864
1.096,0.650014
1.097,0.465368
1.098,0.306224
1.099,0.157733
1.1,0.049592
1.101,0.000848
1.102,-0.00012
1.103,0.010533
1.104,0.037003
1.105,0.066701
1.106,0.09995
1.107,0.157087
1.108,0.219712
1.109,0.269424
1.11,0.317523
1.111,0.375305
1.112,0.446323
1.113,0.510239
1.114,0.562211
1.115,0.619993
1.116,0.689074
1.117,0.776878
1.118,0.856934
1.119,0.897285
1.12,0.896962
1.121,0.865973
1.122,0.811418
1.123,0.725228
1.124,0.612891
1.125,0.490547
1.126,0.38273
1.127,0.293635
1.128,0.224877
1.129,0.188722
1.13,0.189691
1.131,0.23101
1.132,0.314294
1.133,0.436639
1.134,0.588681
1.135,0.762674
1.136,0.917622
1.137,1.025117
1.138,1.060625
1.139,1.098717
1.14,1.18652
1.141,1.258829
1.142,1.254633
1.143,1.215573
1.144,1.137454
1.145,1.006071
1.146,0.849187
1.147,0.690365
1.148,0.525733
1.149,0.353031
1.15,0.180975
1.151,0.037648
1.152,-0.001088
1.153,-0.000766
1.154,-0.001411
1.155,-0.001088
1.156,0.015052
1.157,0.080905
1.158,0.190014
1.159,0.334631
1.16,0.505397
1.161,0.690688
1.162,0.88405
1.163,1.072247
1.164,1.241075
1.165,1.373749
1.166,1.456065
1.167,1.481566
1.168,1.451545
1.169,1.372135
1.17,1.245917
1.171,1.085804
1.172,0.902773
1.173,0.702955
1.174,0.52186
1.175,0.39887
1.176,0.366589
1.177,0.43567
1.178,0.599656
1.179,0.803671
1.18,1.014787
1.181,1.181678
1.182,1.310801
1.183,1.403447
1.184,1.449931
1.185,1.456387
1.186,1.42217
1.187,1.356963
1.188,1.278198
1.189,1.213313
1.19,1.142619
1.191,1.04965
1.192,0.930857
1.193,0.795278
1.194,0.682941
1.195,0.628063
1.196,0.625804
1.197,0.65066
1.198,0.711348
1.199,0.793341
1.2,0.91278
1.201,1.095166
1.202,1.312093
1.203,1.481566
1.204,1.569047
1.205,1.582605
1.206,1.521595
1.207,1.411517
1.208,1.277229
1.209,1.132612
1.21,0.988317
1.211,0.846927
1.212,0.716513
1.213,0.612569
1.214,0.540905
1.215,0.506688
1.216,0.506042
1.217,0.539614
1.218,0.607404
1.219,0.701018
1.22,0.819165
1.221,0.96346
1.222,1.144878
1.223,1.358254
1.224,1.570339
1.225,1.744655
1.226,1.867967
1.227,1.957062
1.228,2.020332
1.229,2.03163
1.23,1.984178
1.231,1.890564
1.232,1.755307
1.233,1.589707
1.234,1.398928
1.235,1.208148
1.236,1.034478
1.237,0.888246
1.238,0.789467
1.239,0.740078
1.24,0.723614
1.241,0.736849
1.242,0.787853
1.243,0.876948
